teamNumber,scouterName,matchNumber,autoMobility,autoDock,autoEngage,autoCone,autoCube,teleopPark,teleopDock,teleopEngage,teleopCone,teleopCube,autoHighCone,autoHighCube,autoMidCone,autoMidCube,autoLowCone,autoLowCube,teleopHighCone,teleopHighCube,teleopMidCone,teleopMidCube,teleopLowCone,teleopLowCube,comments,Auto Points,Teleop Points,points,Defense,Did not move,Column1,
620,lucky,49,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,TRUE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,8,14,22,TRUE,FALSE,,,
4456,lucky,50,FALSE,TRUE,TRUE,0,1,TRUE,FALSE,FALSE,0,1,0,0,0,0,0,1,1,0,0,0,-1,1,15,17,32,FALSE,FALSE,intake couldnt intake,,
7886,lucky,51,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,,,
836,lucky,52,FALSE,FALSE,FALSE,2,-1,FALSE,TRUE,TRUE,5,1,1,0,0,0,1,-1,3,1,0,0,2,0,6,34,40,FALSE,FALSE,good intake and aiming,,
2377,lucky,53,TRUE,FALSE,FALSE,1,0,FALSE,TRUE,TRUE,3,0,1,0,0,0,0,0,2,1,0,0,1,-1,9,25,34,FALSE,FALSE,good intake,,
2914,Rohit,54,FALSE,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,1,1,0,0,1,1,0,0,0,0,1,1,0,0,8,6,14,FALSE,FALSE,,,
1123,Rohit,55,TRUE,FALSE,TRUE,0,1,FALSE,FALSE,TRUE,4,1,0,1,0,0,0,0,3,3,0,0,1,0,21,42,63,FALSE,FALSE,Amazing robot, mainly cones,
620,Rohit,56,FALSE,TRUE,FALSE,0,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,3,11,FALSE,TRUE,The robot stopped moving for a while,,
7886,Rohit,57,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,,,
1446,Rohit,58,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,TRUE,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,FALSE,FALSE,Just a pushbot,,
