team_name,scouterName,matchNumber,autoMobility,autoDock,autoEngage,autoCone,autoCube,teleopPark,teleopDock,teleopEngage,teleopCone,teleopCube,autoHighCone,autoHighCube,autoMidCone,autoMidCube,autoLowCone,autoLowCube,teleopHighCone,teleopHighCube,teleopMidCone,teleopMidCube,teleopLowCone,teleopLowCube,comments,Auto Points,Teleop Points,points,Defense,Did not move,
6326,Kavya,1,FALSE,FALSE,FALSE,2,0,FALSE,FALSE,FALSE,4,2,1,0,0,0,1,0,2,1,0,0,2,1,Intake from humans bad,9,21,30,false,FALSE,
449,Kavya,2,TRUE,FALSE,FALSE,3,0,FALSE,TRUE,TRUE,4,3,2,0,0,0,1,0,2,2,0,0,2,1,Cone got stuck in robot which blocked intake ,18,36,54,false,FALSE,
1123,Kavya,3,FALSE,FALSE,FALSE,3,0,FALSE,TRUE,TRUE,4,4,2,0,0,0,1,0,2,3,0,0,2,1,Better at cubes than cones, put two cubes same spot in teleop,15,41,56,FALSE,
5338,Kavya,4,TRUE,FALSE,FALSE,3,0,FALSE,FALSE,FALSE,6,4,2,0,0,0,1,0,4,3,0,0,2,1,SLAY,18,41,59,false,FALSE,
836,Kavya,5,TRUE,FALSE,FALSE,3,0,FALSE,TRUE,TRUE,6,4,2,0,0,0,1,0,4,3,0,0,2,1,Intake got stuck,18,51,69,false,FALSE,
1908,Kavya,6,TRUE,FALSE,FALSE,4,0,FALSE,TRUE,TRUE,7,4,3,0,0,0,1,0,5,3,0,0,2,1,,24,56,80,false,FALSE,
1446,Kavya,7,TRUE,FALSE,FALSE,4,0,FALSE,FALSE,FALSE,7,4,3,0,0,0,1,0,5,3,0,0,2,1,,24,46,70,false,TRUE,
1389,Samiya,1,FALSE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,auto wasn't successful, reckless driving,0,5,5,FALSE,
4099,Samiya,2,FALSE,FALSE,FALSE,1,0,TRUE,TRUE,TRUE,1,7,1,0,0,0,0,0,0,1,1,2,0,4,specializes in cubes and collects them very well,6,34,40,false,FALSE,
888,Samiya Katoch,3,FALSE,FALSE,FALSE,2,0,TRUE,TRUE,TRUE,4,7,1,0,1,0,0,0,0,1,4,2,0,4,Struggled with picking up cubes from the floor,10,43,53,false,FALSE,
5549,Samiya Katoch,4,FALSE,FALSE,FALSE,2,0,FALSE,FALSE,FALSE,4,7,1,0,1,0,0,0,0,1,4,2,0,4,screw came off,10,31,41,false,TRUE,
2900,Samiya Katoch,5,FALSE,TRUE,TRUE,2,0,TRUE,FALSE,FALSE,4,9,1,0,1,0,0,0,0,1,4,2,0,6,slow but consistent push bot,22,47,69,false,FALSE,
2534,Samiya Katoch,6,FALSE,FALSE,FALSE,2,0,FALSE,FALSE,FALSE,6,9,1,0,1,0,0,0,0,1,5,2,1,6,not able to get on the platform,10,40,50,false,FALSE,
6863,Samkit,1,FALSE,FALSE,FALSE,0,1,TRUE,TRUE,TRUE,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,6,14,20,false,FALSE,
8326,Samkit,2,TRUE,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,2,0,0,1,0,0,0,0,1,0,0,0,1,0,,9,7,16,false,FALSE,
5587,Samkit,3,FALSE,FALSE,FALSE,0,1,TRUE,TRUE,TRUE,2,0,0,1,0,0,0,0,1,0,0,0,1,0,Swerve, robot mechanism could not pickup,,6,19,,
2377,Samkit,4,FALSE,FALSE,FALSE,0,1,TRUE,TRUE,TRUE,2,1,0,1,0,0,0,0,1,1,0,0,1,0,Robot auto missed cone, got stuck on edge of charging station,6,24,30,FALSE,
620,Samkit,5,FALSE,TRUE,TRUE,0,1,TRUE,TRUE,TRUE,2,3,0,1,0,0,0,0,1,2,0,1,1,0,Prefers middle start,18,32,50,false,FALSE,
5841,Samkit,6,FALSE,FALSE,FALSE,0,1,FALSE,TRUE,TRUE,2,3,0,1,0,0,0,0,1,2,0,1,1,0,,6,30,36,true,FALSE,
6239,Samkit,8,FALSE,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,4,4,0,1,1,0,0,0,1,2,3,1,0,1,Spent a lot of time trying to pick up a cube,10,29,39,false,FALSE,
611,Samiya Katoch,8,FALSE,TRUE,FALSE,0,1,TRUE,TRUE,TRUE,0,2,0,1,0,0,0,0,0,0,0,2,0,0,specializes in cubes,14,18,32,false,FALSE,
5830,Aishani,3,FALSE,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,4,6,0,0,0,0,0,1,1,0,2,2,1,4,,3,27,30,false,FALSE,
4456,Aishani,4,FALSE,FALSE,FALSE,1,2,FALSE,FALSE,FALSE,4,6,0,0,1,0,0,2,1,0,2,2,1,4,got stuck,10,27,37,false,FALSE,
4821,Aishani,5,FALSE,FALSE,FALSE,1,2,FALSE,TRUE,TRUE,4,8,0,0,1,0,0,2,1,0,2,3,1,5,,10,42,52,false,FALSE,
1111,Aishani,6,FALSE,FALSE,FALSE,3,2,FALSE,FALSE,FALSE,5,9,0,0,2,0,1,2,1,0,2,4,2,5,completely stopped during the last 20 seconds of the match,17,37,54,false,FALSE,
7886,Aishani,8,FALSE,FALSE,FALSE,3,2,FALSE,FALSE,FALSE,8,8,0,0,2,0,1,2,1,0,4,4,3,4,didn't show up to the match,17,43,60,false,FALSE,
1731,Aakash,1,TRUE,FALSE,FALSE,1,1,TRUE,TRUE,TRUE,3,1,1,1,0,0,0,0,0,1,3,0,0,0,tried to dock during auto but failed,15,26,41,false,FALSE,
1895,Aakash,2,FALSE,TRUE,TRUE,2,1,TRUE,TRUE,TRUE,4,3,1,1,0,0,1,0,0,1,3,0,1,2,jank arm/wobbly arm,27,32,59,true,FALSE,
2199,Aakash,3,FALSE,TRUE,TRUE,2,2,TRUE,TRUE,TRUE,7,4,1,1,0,0,1,1,3,2,3,0,1,2,,30,52,82,false,FALSE,
614,Aakash,5,FALSE,FALSE,FALSE,2,3,TRUE,TRUE,TRUE,8,5,1,1,0,1,1,1,3,2,5,0,0,3,,22,58,80,true,FALSE,
5380,Arwa,9,FALSE,FALSE,FALSE,2,4,FALSE,FALSE,TRUE,11,8,1,2,0,1,1,1,6,4,5,1,0,3,tank drive,28,74,102,false,FALSE,
8622,arwa,11,FALSE,FALSE,FALSE,2,4,FALSE,FALSE,TRUE,11,8,1,2,0,1,1,1,6,4,5,1,0,3,intake is broken, initially had trouble trying to dock and engage ,28,74,102,TRUE,
8514,arwa,12,FALSE,FALSE,FALSE,2,4,FALSE,FALSE,FALSE,11,8,1,2,0,1,1,1,6,4,5,1,0,3,robot moved but nothing happened,28,74,102,false,FALSE,
4638,Samkit,10,FALSE,FALSE,FALSE,0,0,TRUE,TRUE,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,4,0,Only Pushing bot,0,20,20,false,FALSE,
