teamNumber,scouterName,matchNumber,autoMobility,autoDock,autoEngage,autoCone,autoCube,teleopPark,teleopDock,teleopEngage,teleopCone,teleopCube,autoHighCone,autoHighCube,autoMidCone,autoMidCube,autoLowCone,autoLowCube,teleopHighCone,teleopHighCube,teleopMidCone,teleopMidCube,teleopLowCone,teleopLowCube,comments,Auto Points,Teleop Points,points,Defense,Did not move,Column1,
6326,Kavya,1,FALSE,FALSE,FALSE,2,0,FALSE,FALSE,FALSE,4,2,1,0,0,0,1,0,2,1,0,0,2,1,Intake from humans bad,9,21,30,false,FALSE,,
449,Kavya,2,TRUE,FALSE,FALSE,3,0,FALSE,TRUE,TRUE,4,3,2,0,0,0,1,0,2,2,0,0,2,1,Cone got stuck in robot which blocked intake ,18,36,54,false,FALSE,,
1123,Kavya,3,FALSE,FALSE,FALSE,3,0,FALSE,TRUE,TRUE,4,4,2,0,0,0,1,0,2,3,0,0,2,1,Better at cubes than cones, put two cubes same spot in teleop,15,41,56,FALSE,FALSE,
5338,Kavya,4,TRUE,FALSE,FALSE,3,0,FALSE,FALSE,FALSE,6,4,2,0,0,0,1,0,4,3,0,0,2,1,SLAY,18,41,59,false,FALSE,,
836,Kavya,5,TRUE,FALSE,FALSE,3,0,FALSE,TRUE,TRUE,6,4,2,0,0,0,1,0,4,3,0,0,2,1,Intake got stuck,18,51,69,false,FALSE,,
1908,Kavya,6,TRUE,FALSE,FALSE,4,0,FALSE,TRUE,TRUE,7,4,3,0,0,0,1,0,5,3,0,0,2,1,,24,56,80,false,FALSE,,
1446,Kavya,7,TRUE,FALSE,FALSE,4,0,FALSE,FALSE,FALSE,7,4,3,0,0,0,1,0,5,3,0,0,2,1,,24,46,70,false,TRUE,,
1389,Samiya,1,FALSE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"auto wasn't successful, reckless speed",0,5,5,FALSE,FALSE,,
4099,Samiya,2,FALSE,FALSE,FALSE,1,0,FALSE,TRUE,TRUE,0,7,1,0,0,0,0,0,0,1,0,2,0,4,specializes in cubes and collects them very well,6,29,35,FALSE,FALSE,,
888,Samiya Katoch,3,FALSE,FALSE,FALSE,1,0,FALSE,TRUE,TRUE,3,0,0,0,1,0,0,0,0,0,3,0,0,0,Struggled with picking up cubes from the floor,4,14,18,FALSE,FALSE,,
5549,Samiya Katoch,4,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,screw came off,0,31,41,FALSE,TRUE,,
2900,Samiya Katoch,5,FALSE,TRUE,TRUE,0,0,TRUE,FALSE,FALSE,0,2,0,0,0,0,0,0,0,0,0,0,0,2,slow but consistent push bot,12,6,18,FALSE,FALSE,,
2534,Samiya Katoch,6,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,2,0,0,0,0,0,0,0,0,0,1,0,1,0,not able to get on the platform,0,5,5,FALSE,FALSE,,
6326,Samiya Katoch,7,FALSE,FALSE,FALSE,1,0,FALSE,FALSE,FALSE,2,0,1,0,0,0,0,0,1,0,1,0,1,0,,6,10,16,FALSE,FALSE,,
611,Samiya Katoch,8,FALSE,TRUE,FALSE,0,1,FALSE,TRUE,TRUE,0,2,0,1,0,0,0,0,0,0,0,2,0,0,specializes in cubes,14,18,32,FALSE,FALSE,,
5587,Samiya Katoch,9,FALSE,FALSE,FALSE,0,2,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,2,0,0,0,2,0,0,robot stopped working,6,6,12,FALSE,FALSE,,
6863,Samkit,1,FALSE,FALSE,FALSE,0,1,FALSE,TRUE,TRUE,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,6,12,18,FALSE,FALSE,,
8326,Samkit,2,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,3,6,9,FALSE,FALSE,,
5587,Samkit,3,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Swerve,robot mechanism could not pickup, defense only",0,10,10,TRUE,FALSE,,
2377,Samkit,4,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Robot auto missed cone,  got stuck on edge of charging station",0,15,15,FALSE,FALSE,,
620,Samkit,5,FALSE,TRUE,TRUE,0,0,FALSE,TRUE,TRUE,0,2,0,0,0,0,0,0,0,1,0,1,0,0,Prefers middle start,12,18,30,FALSE,FALSE,,
5841,Samkit,6,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,10,10,TRUE,FALSE,,
888,Samkit,7,FALSE,FALSE,FALSE,1,0,TRUE,FALSE,FALSE,3,0,0,0,1,0,0,0,0,0,3,0,0,0,"Cones superior, could not climb charging station",4,9,13,FALSE,FALSE,,
6239,Samkit,8,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Spent a lot of time trying to pick up a cube,0,2,2,FALSE,FALSE,,
8326,Samkit,9,FALSE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,1,1,0,0,0,0,0,0,1,1,0,0,0,0,"Started on right, could not climb charging station",0,12,12,FALSE,FALSE,,
449,Kavya,8,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Intake has an issue with gripping on to anything,3,16,19,FALSE,FALSE,,
620,Kavya,9,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,8,16,24,TRUE,FALSE,,
2534,Kavya,10,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,10,13,FALSE,FALSE,,
2961,riya,1,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,robot didn't show up,0,0,0,,,,
8622,riya,2,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not moving,0,0,0,,,,
6239,riya,3,FALSE,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,0,2,0,1,0,0,0,0,0,0,0,0,0,2,cone in auto,6,4,10,,,,
4638,riya,4,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,2,2,,,,
2914,riya,5,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,3,3,,,,
8514,riya,6,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
6863,riya,7,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,0,0,0,1,1,0,0,,3,6,9,,,,
1895,riya,8,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,10,18,,,,
2961,riya,9,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no robot,0,0,0,,,,
2900,riya,10,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,robot didn't move,6,15,21,,,,
1731,Aakash,1,TRUE,FALSE,FALSE,1,1,FALSE,TRUE,TRUE,3,1,1,1,0,0,0,0,0,1,3,0,0,0,tried to dock during auto but failed,15,26,41,FALSE,FALSE,,
1895,Aakash,2,FALSE,TRUE,TRUE,1,0,FALSE,TRUE,TRUE,1,2,0,0,0,0,1,0,0,0,0,0,1,2,jank arm/wobbly arm,14,6,20,TRUE,FALSE,,
2199,Aakash,3,FALSE,TRUE,TRUE,0,1,FALSE,TRUE,TRUE,3,1,0,0,0,0,0,1,3,1,0,0,0,0,,14,20,34,FALSE,FALSE,,
7886,Aakash,4,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,FALSE,TRUE,,
614,Aakash,5,FALSE,FALSE,FALSE,0,1,FALSE,TRUE,TRUE,1,1,0,0,0,1,0,0,0,0,2,0,0,1,,4,6,10,TRUE,FALSE,,
4099,Arwa,8,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,TRUE,1,3,0,0,0,0,0,0,1,2,0,1,0,0,aggressive,0,18,18,FALSE,FALSE,,
